'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Colonna 25,Principale1,Principale2,Principale3,Principale4,Cluster
170344,170340,31948,31912,200,61,4667784,99616,1117028,407620,893228,4667784,8159224,32,0,84204,23740,109164,7208,316072,1020,109,0.465898486164939,-0.0657191714217476,1.05970298326463,-1.55694618759396,12
172388,170340,32156,31912,200,46,4668632,99720,1117028,407624,893324,4668632,8159224,160,0,84208,23740,109052,7204,313720,1020,110,0.510811599809593,-0.263712506550476,0.346984743520231,-1.23236456982719,13
172388,170340,32156,31912,200,36,4668108,99816,1117028,407624,893428,4668108,8159224,144,0,84208,23740,109048,7208,315884,1020,111,0.589745860819171,-0.19079600426403,-0.144141895051291,-1.03300893788643,14
172388,170340,32156,31912,200,24,4667816,99904,1117036,407624,893524,4667816,8159224,56,0,84208,23740,109096,7204,315884,1020,112,0.587785055405838,-0.2619561538597,-0.720647654910986,-0.779421457842453,14
172388,170340,32156,31912,200,12,4668052,100008,1117036,407632,893620,4668052,8159224,36,0,84208,23740,109028,7204,315280,510,113,0.547776419851871,-0.544225127003941,-1.95940931509491,-2.08792516768262,15
172388,170340,32156,31912,200,9,4667952,100104,1117036,407636,893716,4667952,8159224,44,0,84212,23740,108968,7208,317332,1020,114,0.636793340333028,-0.234170583046804,-1.45176498786154,-0.472427036147446,17
172388,170340,32156,31912,200,59,4667436,100200,1117036,407636,893804,4667436,8159224,32,0,84212,23740,108928,7208,312972,1020,115,0.493326354757173,-0.223302119133223,0.974093810460957,-1.50319198051508,12
172388,170340,32156,31912,200,43,4667680,100296,1117036,407632,893900,4667680,8159224,20,0,84208,23740,109172,7208,317104,1020,116,0.644004302141077,-0.122307318626412,0.191618738709891,-1.18407950960062,13
172388,170340,32156,31912,200,38,4667596,100392,1117036,407640,893988,4667596,8159224,156,0,84216,23740,108956,7208,314724,1530,117,0.566849119903104,-0.0133645870300114,0.615185066216627,0.492429076047232,9
172388,170340,32156,31912,200,28,4667180,100488,1117036,407632,894092,4667180,8159224,164,0,84208,23740,109088,7208,316884,1530,118,0.64662604612748,0.032993705238539,0.127031432022193,0.693609216820125,10
172388,170340,32156,31912,200,9,4667208,100584,1117036,407640,894192,4667208,8159224,36,0,84212,23740,108952,7208,316756,1530,119,0.635128735838599,-0.0424977706621803,-0.790264846461801,1.09270907389523,6
172388,170340,32156,31928,200,9,4667456,100676,1117036,407656,894284,4667456,8159224,40,0,84228,23740,109008,7208,316676,1530,120,0.636369556771236,-0.0444550138193023,-0.790023218257278,1.09285151886456,6
172388,170340,32156,31928,200,60,4666924,100780,1117036,407656,894380,4666924,8159224,24,0,84228,23740,109132,7208,314420,1530,121,0.573005510571143,0.0510057072649204,1.6793655321933,0.0327767491281108,11
172388,170340,32156,31928,200,48,4666280,100876,1117036,407656,894484,4666280,8159224,44,0,84228,23740,108972,7204,314216,1530,122,0.561647524016117,-0.0258814162414041,1.10292346919455,0.286909149145913,9
172388,170340,32156,31928,200,33,4666888,100972,1117036,407652,894572,4666888,8159224,32,0,84224,23740,109000,7204,316300,1530,123,0.633514989195348,-0.000142027827777724,0.373478218399151,0.593170784732092,10
172388,170340,32156,31928,200,18,4666768,101068,1117036,407656,894676,4666768,8159224,164,0,84228,23740,109032,7208,316300,1530,124,0.630911511781228,-0.0252044331795673,-0.354967642688226,0.905616127196247,7
172388,170340,32156,31928,200,10,4666940,101156,1117036,407652,894764,4666940,8159224,152,0,84224,23740,108984,7208,316096,1020,125,0.607002246400931,-0.277927076414812,-1.40136201009614,-0.488321352236911,17
172388,170340,32156,31928,200,9,4666468,101260,1117036,407652,894868,4666468,8159224,32,0,84224,23740,108984,7208,316096,510,126,0.59511061348968,-0.49955893045049,-2.10962181912918,-2.0295938106253,15
172388,170340,32156,31928,200,62,4666292,101356,1117036,407652,894964,4666292,8159224,36,0,84224,23740,108916,7208,316096,510,127,0.612098319555031,-0.30933886812241,0.451300373787215,-3.14069641598199,16
172388,170340,32156,31928,200,50,4666636,101440,1117036,407656,895048,4666636,8159224,40,0,84228,23740,109064,7204,315856,510,128,0.601301134899948,-0.387384877862971,-0.125052830574901,-2.88639032532547,16
172388,170340,32156,31928,200,36,4665632,101544,1117036,407656,895152,4665632,8159224,32,0,84228,23740,109092,7208,317980,1020,129,0.692634046878112,-0.115040851433733,-0.149074549299689,-1.0404459498181,14
172388,170340,32192,31912,200,27,4666808,101648,1117036,407640,895256,4666808,8159224,32,0,84212,23740,109072,7208,315604,1020,130,0.602574639590301,-0.241559509781922,-0.578564843482664,-0.841871421756778,14
172388,170340,32192,31912,200,12,4666184,101744,1117040,407640,895348,4666184,8159224,152,0,84212,23740,108988,7204,315604,1020,131,0.598763708298606,-0.319372255035958,-1.30085050002551,-0.525862540546347,17
172388,170340,32192,31916,200,9,4665720,101836,1117040,407652,895440,4665720,8159224,160,0,84216,23740,109008,7204,317648,1530,132,0.689675032130893,-0.0358454685596286,-0.790134966580252,1.09143155656334,6
172388,170340,32192,31916,200,30,4665924,101924,1117040,407652,895528,4665924,8159224,32,0,84216,23740,109056,7208,317772,1530,133,0.702121002815844,0.0676445081667083,0.221748476712557,0.649252178444463,10
