'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Colonna 25,Principale1,Principale2,Principale3,Principale4,Cluster
153484,151436,26612,26468,160,28,5600120,36768,334684,142740,307448,5600120,8159224,172,0,78744,23772,27928,7196,298484,1530,80,-10.6397983518659,0.109488348918191,0.168165702338799,0.761864118590371,2
153484,151436,26612,26468,160,12,5599636,36864,334684,142736,307552,5599636,8159224,144,0,78740,23772,27848,7192,296156,1020,81,-10.7429167367957,-0.337542372907535,-1.18356012090916,-0.515543698994201,1
153484,151436,26612,26468,160,9,5554656,55856,342108,149612,327972,5554656,8159224,3944,0,79596,23976,45512,7436,299332,1020,82,-10.0520094095463,0.180606951030143,-1.41785050388518,-0.513723377625971,1
153484,151436,26612,26468,160,55,5397504,81168,435176,167336,430616,5397504,8159224,4764,0,81704,24376,81332,7424,302560,1530,83,-8.45959494149987,1.45173397203465,1.28384608710763,0.141974391809356,3
153484,151436,26612,26468,160,45,5160008,83244,656460,230156,597448,5160008,8159224,221152,0,87804,25312,89796,7796,304888,2040,84,-6.66555049633218,8.54436303632559,0.0331966504723225,1.04401922460873,4
153484,151436,26612,26468,160,32,5084564,83540,693480,327380,575804,5084564,8159224,121820,0,126116,28324,90284,7984,343200,2040,85,-3.67265874950352,16.5499157080677,-1.24104830571396,0.403932473913972,13
153484,151436,26612,26468,160,20,5044360,83684,732680,365572,576940,5044360,8159224,115360,0,126116,28324,91172,7984,347336,2040,86,-3.22003090118097,16.5286226819662,-1.82408466130837,0.623745602850061,13
153484,151436,26612,26472,160,14,5008324,83852,767660,380596,597076,5008324,8159224,108968,0,126120,28324,92116,7984,344944,2040,87,-3.07605674341223,16.2333441421281,-2.08277249680951,0.769483009559941,13
170340,170340,28344,28344,196,161,4956280,84000,814496,451508,575060,4956280,8159224,117924,0,127992,28324,93792,8016,361764,2040,88,0.543741067885897,17.5821391614163,5.11319265556141,-2.13090885760862,14
170344,170340,31144,31140,200,64,4902916,84164,864428,454384,624920,4902916,8159224,142552,0,130788,28324,95252,8024,366024,2040,89,1.92720921709288,17.9801337464096,0.217797985639264,-0.445249596028482,13
170344,170340,31144,31140,200,52,4655664,89480,1090572,541220,773332,4655664,8159224,324400,1760,134500,29956,106788,8028,365264,2040,90,3.66791096670417,24.5072047135248,-1.61578001257721,-1.04311914659221,15
