r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,501732,44064,1062720,0,0,746,286,0,1,99,0,"-0,09042842","-1,329801449","-0,214705203","-0,59032307","0,4619527517","-0,595515934","-0,024311819","-0,679832215",1
0,0,502344,44064,1062828,104,0,774,289,0,1,99,0,"0,2498816334","-1,5516391","0,8363935855","-0,538702695","0,409838617","-0,873749032","-0,159182194","-0,558753845",1
0,0,502228,44064,1062828,0,0,727,277,0,1,99,0,"-0,13898751","-1,353438312","-0,203516634","-0,572387219","0,4557872835","-0,594048164","-0,018792777","-0,717122838",1
0,0,501416,44072,1062800,0,28,1046,492,0,1,99,0,"0,6192544722","-1,560595768","-0,494800108","-0,195288413","0,4063868113","-0,508574154","0,438117316","-0,101585772",1
0,0,504896,44072,1062812,0,0,782,473,0,1,99,0,"0,1976248071","-1,722566911","-0,494965691","-0,460057767","0,2258014906","-0,429247476","-0,163569772","-0,650233194",1
0,0,504388,44072,1062816,0,124,719,293,0,1,99,0,"0,3109593992","-1,876680026","0,0286311307","1,6287061475","0,6070102081","-0,603644981","2,5640184461","-0,122754267",8
0,0,505308,44072,1062816,0,0,731,294,0,1,99,0,"-0,242617495","-1,615820087","-0,262933295","-0,505699786","0,3867475277","-0,556410588","-0,024885912","-0,785544627",1
0,0,505216,44072,1062816,0,0,673,273,0,1,99,0,"-0,307188168","-1,584243392","-0,218053916","-0,481805932","0,3891135922","-0,560939002","-0,01691569","-0,857786902",1
0,0,505516,44072,1062816,0,0,767,299,0,1,99,0,"-0,227663384","-1,642045759","-0,282691692","-0,521458816","0,3911400816","-0,558801151","-0,022931057","-0,747555408",1
0,0,504836,44080,1062824,0,16,667,250,0,1,99,0,"-0,274750489","-1,568120765","-0,147137752","-0,21700419","0,4421802485","-0,584495455","0,3338858069","-0,778773635",1
0,0,504248,44080,1062824,0,0,525,251,0,0,100,0,"-1,942305758","-1,333011769","0,0935279796","0,1922612909","-0,535222926","-0,00367247","-0,560326827","0,5263284771",7
0,0,504520,44080,1062828,0,0,660,276,0,1,99,0,"-0,270812376","-1,515886596","-0,208826706","-0,48315792","0,3909263045","-0,559354666","-0,023575475","-0,853386589",1
1,0,504760,44080,1062828,0,0,635,273,0,1,99,0,"-0,198199331","-1,638922438","0,6095847896","-1,505448485","0,5199455031","1,8033494542","0,7574089903","-0,970690697",10
0,0,504892,44080,1062832,0,0,664,336,0,0,99,0,"-0,855759412","-1,637824651","-0,185452248","0,1257819514","-0,502659305","-0,001185268","-0,559155014","0,1850436349",7
0,0,505232,44088,1062832,0,16,752,303,0,1,99,0,"-0,140746393","-1,642651721","-0,243130781","-0,234009417","0,4093938206","-0,556641417","0,3042768809","-0,671153837",1
0,0,504904,44088,1062836,0,0,701,264,0,1,99,0,"-0,298664413","-1,534645722","-0,210783095","-0,504194416","0,4100366205","-0,573304248","-0,007117985","-0,820126404",1
0,0,504744,44096,1062832,0,28,672,301,0,1,99,0,"-0,100673699","-1,612376914","-0,183091566","0,0148373343","0,4089042493","-0,546791209","0,5428190625","-0,688086309",1
0,0,504376,44096,1062832,0,0,494,232,0,0,100,0,"-1,99924964","-1,30537459","0,1258589901","0,2096309","-0,532505125","-0,007646546","-0,550325651","0,4808367328",7
3,0,504280,44096,1062844,0,0,676,273,0,1,99,0,"0,0432059887","-1,801583172","2,2237026723","-3,61639046","0,816867421","6,509394458","2,3250239228","-1,072774575",11
0,0,504384,44096,1062848,0,0,564,251,0,0,99,0,"-1,056717552","-1,497290857","-0,042551971","0,1421615169","-0,445757226","-0,046968072","-0,507646087","0,0521472287",7
0,0,504264,44096,1062848,0,0,672,268,0,1,99,0,"-0,26867329","-1,469462751","-0,198570499","-0,494181395","0,4040856189","-0,566974243","-0,016898865","-0,835253728",1
0,0,504520,44104,1062844,0,24,829,447,0,1,99,0,"0,2816230784","-1,703369068","-0,417506097","-0,083271948","0,308958846","-0,464610912","0,3634869637","-0,468250564",1
0,0,505452,44104,1062856,0,0,640,256,0,1,99,0,"-0,361659761","-1,5451962","-0,187952135","-0,455058032","0,3834371565","-0,558687804","-0,009619791","-0,90691892",1
0,0,505324,44104,1062856,0,416,630,266,0,1,99,0,"1,3978760761","-2,682169563","0,7283222025","6,7497569032","1,0704483693","-0,690645077","8,6768120185","1,2801195746",9
1,0,503968,44104,1062860,0,8,875,323,0,1,99,0,"0,0800008427","-1,634604805","0,5029688882","-1,498249932","0,5757751372","1,7862040094","0,9172140741","-0,611973556",10
0,0,505444,44104,1062860,0,0,649,262,0,1,99,0,"-0,344363175","-1,549966077","-0,198025017","-0,457851709","0,3805703423","-0,555964674","-0,013143611","-0,894097984",1
0,0,504832,44112,1062856,0,112,716,305,0,0,99,0,"-0,429123842","-1,884168055","0,088249442","2,0253916338","-0,269841316","-0,069081477","1,8131418852","0,8263497804",8
0,0,505272,44112,1062864,0,0,528,238,0,0,100,0,"-2,011309493","-1,367981225","0,0980345402","0,2138472214","-0,54507233","-0,000169475","-0,548831927","0,4998539578",7
0,0,505812,44112,1062868,0,0,877,321,0,1,99,0,"-0,141954524","-1,64683069","-0,344939302","-0,560331553","0,3938031704","-0,555098962","-0,02583102","-0,618641038",1
0,0,505580,44112,1062872,0,0,702,295,0,1,99,0,"-0,25496866","-1,582966331","-0,256287381","-0,46961698","0,3612937993","-0,538840655","-0,03203808","-0,824008122",1
0,0,504888,44112,1062872,0,8,720,294,0,0,100,0,"-1,762048983","-1,426118934","-0,007623755","0,2536706465","-0,514026788","-0,003801396","-0,398700188","0,7939886843",7
0,0,505444,44120,1062876,0,24,661,268,0,1,99,0,"-0,222809125","-1,601600278","-0,15490982","-0,042215975","0,415260259","-0,55871692","0,4845071009","-0,751005149",1
0,0,505696,44120,1062876,0,0,749,310,0,1,99,0,"-0,207446577","-1,60062693","-0,290222295","-0,48669285","0,3589372128","-0,534828658","-0,037262705","-0,767001921",1
0,0,505840,44120,1062876,0,0,740,282,0,1,99,0,"-0,280443036","-1,590491257","-0,254585157","-0,491692475","0,382427741","-0,553890195","-0,015528472","-0,791403552",1
0,0,503548,44120,1062904,0,0,1429,643,1,2,98,0,"3,8096628493","-2,454053204","-1,538925656","-0,757230778","0,1699083922","-0,28804079","-0,506283737","-1,294942155",1
0,0,504368,44120,1062908,0,0,824,338,0,1,99,0,"-0,053480607","-1,518490722","-0,331570504","-0,544492131","0,3788351213","-0,539184946","-0,051860517","-0,635727316",1
0,1,505384,44128,1062912,0,92,611,274,0,1,99,0,"0,0902262481","-3,000265122","0,0154691756","13,15873096","23,545779055","7,4374316657","-10,32930296","1,5319890084",14
0,0,505332,44128,1062916,0,0,839,295,0,1,99,0,"-0,187916265","-1,558959584","-0,294284583","-0,553192057","0,4111786068","-0,56748912","-0,012754222","-0,658825864",1
0,0,505580,44128,1062916,0,0,642,283,0,0,100,0,"-1,877819856","-1,420242897","0,0046664064","0,1764155656","-0,559584477","0,0161382507","-0,568271928","0,6407886993",7
0,0,505960,44128,1062920,0,100,767,300,0,1,99,0,"0,1839168587","-1,879197459","-0,063924763","1,2353030968","0,5374875818","-0,576758105","2,0641999299","-0,229365944",8
0,0,505156,44128,1062920,0,0,960,332,0,1,99,0,"-0,051139912","-1,588643647","-0,374990586","-0,613251424","0,41940675","-0,566218241","-0,024759405","-0,501101293",1
0,0,505064,44128,1062924,0,0,542,227,0,0,99,0,"-1,142944268","-1,488903109","-0,012485666","0,1676705468","-0,447663282","-0,049081902","-0,491921512","0,0019116541",7
0,0,505276,44136,1062924,0,16,891,327,0,1,99,0,"-0,025476348","-1,619226183","-0,313133054","-0,291738264","0,4226578826","-0,55785229","0,3030184932","-0,501039093",1
0,0,505540,44136,1062928,0,0,808,284,0,1,99,0,"-0,2321779","-1,553255295","-0,273247138","-0,532875212","0,4060667303","-0,566100423","-0,008557816","-0,703659412",1
0,0,504972,44136,1062928,0,0,685,355,0,0,100,0,"-1,669678143","-1,418700684","-0,089696641","0,1750751912","-0,610742702","0,0606258076","-0,622226313","0,7328986889",7
0,0,504760,44136,1062928,0,0,685,268,0,1,99,0,"-0,277582659","-1,458657905","-0,206233694","-0,479841757","0,3910798821","-0,557605781","-0,016288425","-0,831268344",1
0,0,505556,44136,1062936,0,0,783,305,0,1,99,0,"-0,195006638","-1,566123213","-0,291732581","-0,507188649","0,3748622355","-0,543813212","-0,029415909","-0,725116985",1
0,0,505928,44144,1062936,0,16,842,266,0,1,99,0,"-0,20958821","-1,610787469","-0,230145532","-0,275598667","0,4557000262","-0,588648696","0,3461922968","-0,596491769",1
1,0,505872,44144,1062944,0,0,750,300,0,1,99,0,"-0,131703332","-1,682692701","0,5311320861","-1,521574445","0,4999380986","1,8212968932","0,7516462932","-0,854039591",10
0,0,504552,44144,1062944,0,0,619,244,0,0,100,0,"-1,921985614","-1,280487057","0,0734340996","0,1575257537","-0,514092056","-0,014141341","-0,543667971","0,6271188062",7
0,0,505360,44144,1062944,0,0,751,280,0,1,99,0,"-0,252173977","-1,516324303","-0,248154627","-0,500645788","0,3906630815","-0,556387582","-0,01498776","-0,765861755",1
0,0,504780,44144,1062948,0,0,699,253,0,1,99,0,"-0,304967748","-1,439960699","-0,191731035","-0,492554789","0,4095121651","-0,570691675","-0,002432592","-0,820776649",1
0,0,504944,44152,1062952,0,16,626,264,0,0,100,0,"-1,824399947","-1,362926209","0,0777611323","0,4494669664","-0,513846318","-0,000652473","-0,223918534","0,7170363741",7
0,0,505168,44152,1062952,0,0,476,224,0,0,100,0,"-2,047687027","-1,286700364","0,1349546633","0,2500787196","-0,557149992","0,007912008","-0,54827263","0,4392617894",7
0,0,505128,44152,1062952,0,0,672,297,0,1,99,0,"-0,230986125","-1,488248375","-0,241679507","-0,446028072","0,346332042","-0,525658468","-0,041968012","-0,844415849",1
0,0,505104,44152,1062956,0,0,735,297,0,0,99,0,"-0,909907699","-1,540560067","-0,157347653","0,0906915822","-0,456890057","-0,030976317","-0,520742122","0,2501807813",7
0,0,504824,44152,1062960,0,0,771,293,0,1,99,0,"-0,188413283","-1,473173945","-0,263354939","-0,514421527","0,3913578207","-0,552922327","-0,02433752","-0,723825714",1
0,0,505428,44160,1062964,0,88,665,270,0,0,99,0,"-0,643254752","-1,768915634","0,0894773566","1,6518504441","-0,313536902","-0,062628421","1,3304078918","0,6150678293",8
