procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 505520  44136 1055340    0    0     0    16  958  314  0  2 98  0  0  0
 0  0      0 505656  44136 1055344    0    0     0    72  821  283  0  1 99  0  0  0
 0  0      0 505528  44136 1055344    0    0     0     0  887  295  0  1 99  0  0  0
 0  0      0 506580  44136 1055348    0    0     0     0  995  352  0  2 98  0  0  0
 1  0      0 506060  44136 1055352    0    0     0     0 1365  399  0  3 97  0  0  0
 0  0      0 505284  44144 1055356    0    0     0    40  796  287  0  1 99  0  0  0
 0  0      0 505800  44144 1055360    0    0     0     0 1006  318  0  2 98  0  0  0
 0  0      0 505948  44144 1055360    0    0     0     8  990  325  0  2 98  0  0  0
 0  0      0 505544  44144 1055364    0    0     0     0  924  317  0  1 99  0  0  0
 0  0      0 505744  44144 1055364    0    0     0     0  895  293  0  2 98  0  0  0
 0  0      0 506328  44152 1055372    0    0     0    28  838  289  0  1 98  0  0  0
 0  0      0 506052  44152 1055372    0    0     0     0 1103  342  0  2 98  0  0  0
 0  0      0 505920  44152 1055376    0    0     0     0 1199  403  0  2 97  0  0  0
 0  0      0 505880  44152 1055376    0    0     0     0  815  303  0  1 99  0  0  0
 0  0      0 505708  44152 1055380    0    0     0     0  866  308  0  1 99  0  0  0
 0  0      0 505672  44160 1055380    0    0     0    16  752  297  0  1 99  0  0  0
 0  0      0 505736  44160 1055384    0    0     0     0  980  316  0  2 98  0  0  0
 0  0      0 505560  44160 1055384    0    0     0     0  982  353  0  2 98  0  0  0
 0  0      0 505912  44160 1055388    0    0     0     0  932  331  0  2 98  0  0  0
 0  0      0 506260  44160 1055392    0    0     0     0  662  260  0  1 99  0  0  0
 0  0      0 506352  44168 1055384    0    0     0    16  869  291  0  1 99  0  0  0
 0  0      0 506108  44168 1055388    0    0     0     0  978  306  0  2 98  0  0  0
 0  0      0 505708  44168 1055396    0    0     0     0 1090  312  0  2 98  0  0  0
 0  0      0 505868  44168 1055400    0    0     0     0  773  290  0  1 99  0  0  0
 0  0      0 507240  44168 1055400    0    0     0     0  801  266  0  1 99  0  0  0
 0  0      0 506684  44176 1055404    0    0     0    28  984  373  0  2 98  0  0  0
 0  0      0 507444  44176 1055404    0    0     0     0 1117  342  0  2 98  0  0  0
 0  0      0 506228  44176 1055408    0    0     0     0  740  280  0  1 99  0  0  0
 0  0      0 506556  44176 1055408    0    0     0     0 1185  355  0  2 98  0  0  0
 0  0      0 506420  44176 1055412    0    0     0     0  762  276  0  1 98  0  0  0
 0  0      0 506704  44184 1055412    0    0     0    16  941  319  0  1 98  0  0  0
 0  0      0 507024  44184 1055416    0    0     0     0  774  281  0  1 99  0  0  0
 0  0      0 505752  44184 1055416    0    0     0    68  775  281  0  1 99  0  0  0
 0  0      0 506644  44184 1055420    0    0     0     0  998  329  0  2 98  0  0  0
 0  0      0 505828  44184 1055420    0    0     0     0  950  284  0  1 98  0  0  0
 0  0      0 505640  44184 1055424    0    0     0     0  812  294  0  1 99  0  0  0
 0  0      0 506216  44192 1055428    0    0     0    24  991  317  0  1 99  0  0  0
 1  0      0 505936  44192 1055428    0    0     0     0  859  311  0  1 99  0  0  0
 0  0      0 506480  44192 1055432    0    0     0     0  903  317  0  1 99  0  0  0
 0  0      0 506336  44192 1055432    0    0     0     4  788  305  0  1 99  0  0  0
 0  0      0 506812  44192 1055436    0    0     0     0 1196  345  0  2 98  0  0  0
 0  0      0 506568  44200 1055436    0    0     0    52 1004  322  0  1 98  0  0  0
 0  0      0 505932  44200 1055444    0    0     0     0  975  328  0  1 99  0  0  0
 0  0      0 506272  44200 1055444    0    0     0     0 1100  372  0  2 98  0  0  0
 0  0      0 506316  44200 1055448    0    0     0     0  928  306  0  1 98  0  0  0
 0  0      0 506736  44200 1055448    0    0     0     0  871  316  0  1 99  0  0  0
