procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1037624  43284 1069412    0    0     0    28 1181  382  0  0 99  0  0  0
 0  0      0 1038336  43284 1069416    0    0     0     0  862  329  0  0 100  0  0  0
 0  0      0 1040080  43284 1069416    0    0     0     0  628  208  0  0 100  0  0  0
 2  0      0 1035772  43284 1069424    0    0     0     0 2380  273  0  0 100  0  0  0
 0  0      0 1039320  43284 1069424    0    0     0     0 1846  224  0  0 100  0  0  0
 0  0      0 1038724  43292 1069428    0    0     0    28 1015  372  0  0 99  0  0  0
 0  0      0 1038916  43292 1069428    0    0     0     0  508  192  0  0 100  0  0  0
 1  0      0 1038576  43292 1069432    0    0     0     0  874  308  0  1 99  0  0  0
 0  0      0 1038948  43292 1069432    0    0     0     0  601  217  0  0 100  0  0  0
 0  0      0 1039108  43292 1069436    0    0     0     0  900  285  0  0 99  0  0  0
 0  0      0 1038560  43300 1069428    0    0     0    28  698  311  0  0 100  0  0  0
 0  0      0 1038800  43300 1069440    0    0     0    88  731  286  0  0 100  0  0  0
 0  0      0 1040156  43300 1069444    0    0     0     0  577  224  0  0 100  0  0  0
 0  0      0 1040192  43300 1069444    0    0     0     0  809  277  0  0 100  0  0  0
 0  0      0 1040324  43300 1069444    0    0     0     0  462  209  0  0 100  0  0  0
 0  0      0 1040608  43312 1069452    0    0     0    44  861  371  0  0 100  0  0  0
 0  0      0 1039740  43312 1069452    0    0     0     8  678  247  0  0 100  0  0  0
 0  0      0 1040664  43312 1069452    0    0     0     0  946  304  0  0 100  0  0  0
 0  0      0 1040536  43312 1069460    0    0     0     0  604  226  0  0 100  0  0  0
 0  0      0 1040628  43312 1069460    0    0     0     4  795  282  0  0 100  0  0  0
 0  0      0 1039800  43320 1069452    0    0     0    40  743  318  0  0 99  0  0  0
 0  0      0 1039272  43320 1069464    0    0     0   128  658  281  0  0 100  0  0  0
 0  0      0 1038636  43320 1069468    0    0     0     0  601  203  0  0 100  0  0  0
 0  0      0 1039300  43320 1069468    0    0     0     0  763  309  0  0 99  0  0  0
 0  0      0 1039400  43320 1069472    0    0     0     0  595  217  0  0 100  0  0  0
 0  0      0 1039880  43328 1069476    0    0     0    28  746  343  0  0 100  0  0  0
 0  0      0 1039616  43328 1069476    0    0     0     0  641  231  0  0 100  0  0  0
 0  0      0 1039204  43328 1069480    0    0     0     0  584  262  0  0 100  0  0  0
 0  0      0 1039704  43328 1069480    0    0     0     0  680  272  0  0 100  0  0  0
 0  0      0 1040228  43328 1069484    0    0     0     0  901  299  0  1 99  0  0  0
 0  0      0 1040444  43336 1069476    0    0     0    28  654  301  0  0 100  0  0  0
 0  0      0 1040956  43336 1069488    0    0     0     0  875  317  0  0 99  0  0  0
 0  0      0 1040064  43336 1069488    0    0     0     0  584  206  0  0 100  0  0  0
 0  0      0 1039968  43336 1069492    0    0     0     0  639  259  0  0 100  0  0  0
 0  0      0 1039864  43336 1069492    0    0     0     0  634  210  0  0 100  0  0  0
 0  0      0 1034072  43384 1070964    0    0  1344   216 1639  759  1  1 97  0  0  0
 0  0      0 1035124  43384 1070964    0    0     0     0  642  224  0  0 100  0  0  0
 0  0      0 1035392  43384 1070968    0    0     0     0  823  288  0  0 99  0  0  0
 0  0      0 1035096  43384 1070968    0    0     0     0  684  227  0  0 100  0  0  0
 0  0      0 1033472  43384 1070972    0    0     0     0  836  357  0  0 100  0  0  0
 1  0      0 1029832  43392 1070976    0    0     0    32  889  441  0  1 99  0  0  0
 0  0      0 1034148  43392 1071000    0    0     0     0 1099  526  0  1 99  0  0  0
 0  0      0 1035976  43392 1071004    0    0     0    68  825  302  0  0 99  0  0  0
 0  0      0 1035964  43392 1071004    0    0     0     0  625  301  0  0 100  0  0  0
 0  0      0 1034500  43392 1071112    0    0   104     0  722  280  0  0 100  0  0  0
 0  0      0 1034488  43400 1071116    0    0     0    92 1065  419  0  0 99  0  0  0
 0  0      0 1034188  43400 1071120    0    0     0    88 1627  266  0  0 100  0  0  0
 0  0      0 1036492  43400 1071116    0    0     0     0 1464  522  0  1 99  0  0  0
 2  0      0 1035320  43400 1071120    0    0     0     0  714  284  0  0 100  0  0  0
 1  0      0 1037028  43400 1071120    0    0     0     0 1002  641  0  0 100  0  0  0
 0  1      0 1036524  43408 1071120    0    0     0    28 7910  358  0  1 99  0  0  0
 0  0      0 1039644  43412 1071124    0    0     0    12  981  416  0  0 100  0  0  0
 0  0      0 1039652  43412 1071132    0    0     0     0  816  286  0  0 99  0  0  0
 0  0      0 1039644  43412 1071136    0    0     0     0  775  266  0  0 100  0  0  0
 0  0      0 1040060  43412 1071136    0    0     0     0 7181  420  0  0 100  0  0  0
 0  0      0 1039700  43412 1071140    0    0     0     0 1096  352  0  0 100  0  0  0
 0  0      0 1040052  43424 1071140    0    0     0   300  721  284  0  0 100  0  0  0
 0  0      0 1039648  43424 1071140    0    0     0     0  757  329  0  0 100  0  0  0
 0  0      0 1039904  43424 1071144    0    0     0     0  530  210  0  0 100  0  0  0
 0  0      0 1039660  43424 1071144    0    0     0     0  989  338  0  1 99  0  0  0
 0  0      0 1039960  43424 1071144    0    0     0     0  924  312  0  1 99  0  0  0
 0  0      0 1039868  43432 1071148    0    0     0    28  982  355  0  1 99  0  0  0
 0  0      0 1039032  43440 1071156    0    0     0    28  680  260  0  0 100  0  0  0
 0  0      0 1038988  43440 1071160    0    0     0     0  794  286  0  0 100  0  0  0
 0  0      0 1039348  43440 1071160    0    0     0     0 1039  416  0  1 99  0  0  0
