procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 505504  44236 1063052    0    0     0     0 7641  351  0  1 99  0  0  0
 0  0      0 504672  44236 1063056    0    0     0     0  679  305  0  1 99  0  0  0
 0  0      0 505304  44236 1063060    0    0     0     0  713  274  0  1 99  0  0  0
 0  0      0 506480  44236 1063060    0    0     0     0  756  267  0  1 99  0  0  0
 0  0      0 505856  44244 1063052    0    0     0    36  600  272  0  1 99  0  0  0
 0  0      0 506056  44244 1063064    0    0     0     0  785  290  0  1 99  0  0  0
 0  0      0 506100  44244 1063068    0    0     0     0  585  256  0  0 100  0  0  0
 0  0      0 506684  44244 1063068    0    0     0     0  644  260  0  1 99  0  0  0
 0  0      0 506028  44244 1063072    0    0     0     0  784  271  0  1 99  0  0  0
 0  0      0 505972  44252 1063076    0    0     0    16  806  299  0  1 99  0  0  0
 0  0      0 505688  44252 1063076    0    0     0     0  788  294  0  1 99  0  0  0
 0  0      0 505740  44252 1063080    0    0     0     0  948  289  0  1 99  0  0  0
 0  0      0 505660  44252 1063080    0    0     0     0  640  265  0  1 99  0  0  0
 0  0      0 505600  44252 1063080    0    0     0     0  590  230  0  1 99  0  0  0
 0  0      0 505484  44260 1063080    0    0     0    88  563  270  0  0 99  0  0  0
 0  0      0 505116  44260 1063088    0    0     0     0  640  256  0  1 99  0  0  0
 0  0      0 505760  44260 1063088    0    0     0     0  740  290  0  1 99  0  0  0
 0  0      0 505748  44260 1063092    0    0     0     0  741  281  0  1 99  0  0  0
 0  0      0 505828  44260 1063092    0    0     0     0  562  269  0  0 100  0  0  0
 0  0      0 505124  44268 1063096    0    0     0    32  604  262  0  1 99  0  0  0
 0  0      0 505052  44268 1063096    0    0     0     0  880  494  0  1 99  0  0  0
 0  0      0 505736  44268 1063100    0    0     0     0  692  272  0  1 99  0  0  0
 0  0      0 506220  44268 1063104    0    0     0     0  631  263  0  1 99  0  0  0
 0  0      0 505752  44268 1063104    0    0     0     0  592  240  0  0 99  0  0  0
 0  0      0 505112  44276 1063112    0    0     0    32  546  264  0  0 99  0  0  0
 0  0      0 504720  44276 1063112    0    0     0     0  886  318  0  2 98  0  0  0
 0  0      0 504976  44276 1063116    0    0     0     0  594  246  0  0 100  0  0  0
 0  0      0 504756  44276 1063116    0    0     0     0  571  238  0  0 100  0  0  0
 0  0      0 505040  44276 1063120    0    0     0     0  641  271  0  1 99  0  0  0
 0  0      0 504688  44284 1063120    0    0     0    16  810  294  0  1 99  0  0  0
 0  0      0 505120  44284 1063124    0    0     0     0  551  255  0  0 100  0  0  0
 0  0      0 504376  44284 1063124    0    0     0     0  743  281  1  1 99  0  0  0
 0  0      0 505476  44284 1063128    0    0     0     0  644  263  0  1 99  0  0  0
 0  0      0 505816  44284 1063128    0    0     0     0  797  279  0  1 99  0  0  0
