r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time,Principale1,Principale2,Principale3,Cluster
5,1,0,746636,51660,493516,0,0,0,0,9512,33267,48,48,1,3,0,0 2025-10-22,"1,687894062","-0,973570741","-0,667382919",5
4,2,0,745676,51660,493484,0,0,0,0,9457,33309,50,46,1,4,0,0 2025-10-22,"1,9529841918","-1,23782113","-0,950686497",6
6,2,0,745456,51668,493424,0,0,0,6,9231,33193,48,48,1,3,0,0 2025-10-22,"1,99938893","-1,580706625","-0,755355956",6
7,0,0,745060,51668,493484,0,0,0,0,9444,33269,48,47,1,3,0,0 2025-10-22,"1,7427882871","-1,137676502","-0,40269685",5
5,0,0,744812,51668,493500,0,0,0,0,9327,33122,50,46,1,3,0,0 2025-10-22,"1,5382610121","-1,076573214","-0,396086954",5
7,1,0,745804,51668,493484,0,0,0,0,9331,33125,51,45,1,4,0,0 2025-10-22,"2,0749397623","-1,152080384","-0,664387728",5
7,0,0,746504,51668,493432,0,0,0,0,9494,33330,49,47,1,4,0,0 2025-10-22,"1,973465827","-1,423745135","-0,570684269",5
6,1,0,746336,51668,493484,0,0,0,0,9557,33336,48,48,1,4,0,0 2025-10-22,"1,9987731694","-1,1499607","-0,705192644",5
8,0,0,746348,51668,493460,0,0,0,0,9450,33293,50,46,1,4,0,0 2025-10-22,"2,046656087","-1,244863775","-0,486076996",5
5,0,0,747860,51668,493400,0,0,0,0,9638,33361,48,47,1,4,0,0 2025-10-22,"1,7858514989","-1,612715254","-0,728324131",5
6,0,0,747516,51668,493536,0,0,0,0,9433,33343,49,47,1,3,0,0 2025-10-22,"1,6019676609","-0,776439475","-0,405385285",5
8,0,0,746404,51668,493400,0,0,0,0,9402,33320,47,48,1,4,0,0 2025-10-22,"2,0724330395","-1,607768439","-0,61520816",5
9,1,0,746656,51668,493516,0,0,0,0,9339,33121,46,49,1,4,0,0 2025-10-22,"2,2265235409","-0,911106185","-0,591082407",5
5,0,0,743712,51668,493484,0,0,0,0,9525,33410,49,46,1,4,0,0 2025-10-22,"1,7478773462","-1,209292497","-0,390015507",5
6,0,0,744864,51668,493448,0,0,0,0,9356,33429,50,45,1,4,0,0 2025-10-22,"1,8489930371","-1,385523448","-0,491198187",5
6,0,0,745388,51668,493484,0,0,0,0,9599,33403,49,47,1,3,0,0 2025-10-22,"1,6753229961","-1,139668043","-0,435677673",5
7,0,0,747284,51668,493480,0,0,0,0,9503,33237,49,46,1,4,0,0 2025-10-22,"1,9115183474","-1,117579485","-0,497554145",5
8,0,0,748580,51668,493492,0,0,0,2,9455,33171,46,49,1,3,0,0 2025-10-22,"1,8068975376","-0,999484989","-0,410572367",5
3,0,0,747632,51668,493500,0,0,0,0,9613,33144,49,47,1,4,0,0 2025-10-22,"1,5244105366","-1,043891426","-0,544007092",5
5,0,0,746748,51668,493484,0,0,0,0,9416,33076,49,46,1,4,0,0 2025-10-22,"1,7045034548","-1,137613067","-0,505014126",5
9,0,0,747000,51668,493416,0,0,0,0,9260,32010,48,46,1,4,0,0 2025-10-22,"2,0908972106","-1,491163844","-0,581238882",5
4,2,0,749144,51668,493484,0,0,0,0,8986,30688,49,44,2,5,0,0 2025-10-22,"1,9377149014","-1,168006479","-1,072878663",6
10,0,0,748996,51668,493400,0,0,0,0,8981,31041,47,45,2,5,0,0 2025-10-22,"2,274354052","-1,547492798","-0,668968722",5
7,2,0,748596,51676,493392,0,0,0,6,9202,31735,47,46,3,5,0,0 2025-10-22,"2,3493777292","-1,698737811","-0,919893899",5
6,2,0,748108,51676,493468,0,0,0,0,8616,28840,43,49,3,5,0,0 2025-10-22,"2,0546576287","-1,256474631","-1,021950048",6
5,3,0,747036,51676,493484,0,0,0,0,9212,30993,47,44,3,5,0,0 2025-10-22,"2,1940314498","-1,208358366","-1,204951756",6
7,0,0,748116,51676,493532,0,0,0,0,9066,30885,45,47,2,5,0,0 2025-10-22,"1,8904652081","-0,797474137","-0,408862939",5
8,0,0,747888,51676,493484,0,0,0,0,9137,30989,46,46,3,5,0,0 2025-10-22,"2,0271365465","-1,077346229","-0,48397909",5
12,0,0,748412,51676,493524,0,0,0,0,9082,30795,44,48,3,5,0,0 2025-10-22,"2,3778267382","-0,766423407","-0,343600344",5
6,0,0,748420,51676,493484,0,0,0,0,9158,31424,47,46,3,5,0,0 2025-10-22,"1,8551991243","-1,089488152","-0,543268311",5
1,3,0,749548,51676,493520,0,0,0,0,9349,30964,46,45,3,5,0,0 2025-10-22,"1,7636106418","-0,986633257","-1,299863042",6
6,0,0,748168,51676,493484,0,0,0,0,9264,31036,45,47,3,5,0,0 2025-10-22,"1,8407312602","-1,097918066","-0,53285275",5
9,1,0,748864,51676,493500,0,0,0,0,9114,31372,51,41,3,5,0,0 2025-10-22,"2,2651964744","-0,962775032","-0,701742541",5
6,0,0,748972,51684,493516,0,0,0,6,9248,31116,42,50,3,5,0,0 2025-10-22,"1,816342182","-0,897867963","-0,220656868",5
8,0,0,748364,51684,493468,0,0,0,0,8947,30861,47,46,2,5,0,0 2025-10-22,"2,039951715","-1,142778033","-0,534370341",5
2,3,0,748800,51684,493484,0,0,0,0,9015,31348,49,44,2,5,0,0 2025-10-22,"1,9166872412","-1,185746629","-1,328106608",6
7,0,0,747256,51684,493480,0,0,0,2,9191,31328,46,46,3,5,0,0 2025-10-22,"1,9511079556","-1,120832778","-0,395257637",5
9,0,0,750256,51684,493488,0,0,0,0,9205,31244,46,46,3,5,0,0 2025-10-22,"2,1141738607","-0,959339629","-0,546877628",5
6,0,0,749340,51684,493472,0,0,0,4,9179,31251,48,45,3,5,0,0 2025-10-22,"1,8561342884","-1,141629087","-0,419976649",5
5,1,0,748576,51684,493404,0,0,0,0,9295,31589,49,43,3,5,0,0 2025-10-22,"1,9682706943","-1,584495267","-0,969778158",5
9,0,0,748220,51684,493508,0,0,0,0,9058,31283,45,47,3,5,0,0 2025-10-22,"2,1048759586","-0,890448403","-0,425588564",5
3,2,0,749472,51684,493488,0,0,0,0,9132,31418,47,45,2,5,0,0 2025-10-22,"1,8466219279","-1,109084131","-1,094242206",6
3,3,0,752636,51684,493456,0,0,0,0,8940,30501,47,46,2,5,0,0 2025-10-22,"1,9777557777","-1,250260779","-1,513948321",6
5,0,0,746116,51684,493488,0,0,0,0,9082,31547,47,46,2,4,0,0 2025-10-22,"1,5964455021","-1,105751925","-0,462848629",5
6,0,0,746884,51684,493548,0,0,0,0,8995,31173,47,45,3,5,0,0 2025-10-22,"1,7810263417","-0,727158373","-0,344584316",5
7,0,0,746568,51684,493488,0,0,0,0,8996,30199,46,46,3,5,0,0 2025-10-22,"1,9042651405","-1,085843075","-0,439708758",5
5,0,0,746120,51684,493476,0,0,0,0,8082,27465,44,49,2,5,0,0 2025-10-22,"1,5997112555","-1,218177693","-0,475869872",5
5,1,0,749588,51684,493488,0,0,0,0,7757,26839,43,50,3,5,0,0 2025-10-22,"1,665323","-1,090205216","-0,812428785",6
12,0,0,744808,51684,493488,0,0,0,0,9081,31955,45,47,3,6,0,0 2025-10-22,"2,6434389061","-1,058758732","-0,283915248",5
3,0,0,746328,51684,493404,0,0,0,0,8964,31187,44,47,3,6,0,0 2025-10-22,"1,7620915091","-1,666059301","-0,68612261",5
8,0,0,748788,51684,493452,0,0,0,0,8598,29578,45,46,3,6,0,0 2025-10-22,"2,1249241098","-1,254434236","-0,579566428",5
8,0,0,749560,51684,493520,0,0,0,0,8683,29242,45,47,3,5,0,0 2025-10-22,"1,902836087","-0,812863754","-0,463868391",5
6,0,0,748096,51684,493540,0,0,0,0,8651,29178,47,44,3,6,0,0 2025-10-22,"1,8607151506","-0,771058706","-0,402432711",5
4,3,0,749324,51684,493488,0,0,0,0,9140,31352,48,43,4,5,0,0 2025-10-22,"2,0662780324","-1,123844963","-1,301198142",6
7,0,0,748820,51684,493500,0,0,0,0,8910,30778,45,47,3,5,0,0 2025-10-22,"1,883551361","-0,957129489","-0,501086603",5
6,0,0,749088,51684,493528,0,0,0,0,7187,23997,40,52,3,5,0,0 2025-10-22,"1,4464585813","-0,845757988","-0,447424304",5
12,3,0,746380,51684,493488,0,0,0,0,8736,29808,45,46,3,6,0,0 2025-10-22,"2,9960259729","-1,100503299","-1,035166215",6
7,0,0,749036,51684,493488,0,0,0,0,9112,31188,45,46,4,6,0,0 2025-10-22,"2,0735368021","-1,033839823","-0,536841927",5
5,0,0,749148,51684,493508,0,0,0,0,9123,31310,46,45,4,6,0,0 2025-10-22,"1,863895953","-0,939132419","-0,536129457",5
8,0,0,750488,51684,493488,0,0,0,0,8639,28962,45,47,3,5,0,0 2025-10-22,"1,9085052099","-0,984692585","-0,566753413",5
8,0,0,745204,51684,493460,0,0,0,0,9059,30819,44,47,3,6,0,0 2025-10-22,"2,2206394364","-1,283184467","-0,430346157",5
6,0,0,748520,51684,493504,0,0,0,0,8860,30324,44,47,3,6,0,0 2025-10-22,"1,9327931795","-0,970461095","-0,49885731",5
6,0,0,749088,51684,493520,0,0,0,0,9051,31105,46,45,3,6,0,0 2025-10-22,"1,9506740965","-0,854477083","-0,489100338",5
6,0,0,748608,51692,493488,0,0,0,6,8805,30525,46,46,3,5,0,0 2025-10-22,"1,784220389","-1,064230705","-0,261067034",5
5,0,0,743904,51692,493532,0,0,0,0,8454,29123,47,45,3,5,0,0 2025-10-22,"1,6212049776","-0,907085814","-0,274589026",5
6,0,0,745616,51692,493488,0,0,0,0,8995,31115,45,46,3,5,0,0 2025-10-22,"1,8187967063","-1,102880339","-0,421582115",5
7,0,0,747752,51692,493412,0,0,0,0,9170,31179,48,43,3,5,0,0 2025-10-22,"1,9719496978","-1,491450145","-0,647603836",5
6,0,0,746820,51692,493456,0,0,0,0,9112,31500,45,46,3,6,0,0 2025-10-22,"2,0333119887","-1,274173907","-0,53818034",5
9,1,0,745852,51692,493492,0,0,0,0,8966,30930,45,46,3,6,0,0 2025-10-22,"2,4382168674","-1,062933809","-0,599152697",5
8,1,0,749632,51692,493472,0,0,0,0,9232,31656,48,43,3,6,0,0 2025-10-22,"2,3624567764","-1,099075381","-0,808015176",6
6,0,0,748372,51692,493464,0,0,0,0,8137,27786,46,45,3,5,0,0 2025-10-22,"1,6559106574","-1,204317012","-0,566805908",5
6,0,0,746372,51692,493488,0,0,0,0,8875,31537,48,44,3,6,0,0 2025-10-22,"2,008703513","-1,093080917","-0,452183324",5
9,0,0,748196,51692,493488,0,0,0,0,6142,20478,45,47,3,5,0,0 2025-10-22,"1,5977088402","-1,072953624","-0,427997294",5
10,0,0,747388,51692,493504,0,0,0,2,8625,29900,47,45,3,5,0,0 2025-10-22,"2,1411357592","-0,922705066","-0,285694663",5
9,0,0,749376,51700,493456,0,0,0,6,8103,26736,47,44,4,6,0,0 2025-10-22,"2,09606773","-1,213150913","-0,289670347",5
6,0,0,749124,51700,493488,0,0,0,0,6383,20540,43,49,3,6,0,0 2025-10-22,"1,4983252567","-1,082372725","-0,520465777",5
7,0,0,744412,51700,493460,0,0,0,0,8450,28931,45,46,3,5,0,0 2025-10-22,"1,8463567511","-1,282952862","-0,407557318",5
4,2,0,748772,51700,493496,0,0,0,0,8996,30705,48,44,3,5,0,0 2025-10-22,"1,905206616","-1,030219644","-1,02624414",6
7,0,0,748888,51700,493520,0,0,0,2,9030,30837,45,46,3,6,0,0 2025-10-22,"2,0432675244","-0,818090323","-0,367996385",5
8,0,0,747392,51700,493488,0,0,0,0,8784,29775,43,48,3,6,0,0 2025-10-22,"2,1303960123","-1,029828511","-0,447927672",5
7,0,0,747120,51700,493456,0,0,0,0,8644,29410,46,46,3,5,0,0 2025-10-22,"1,8722466656","-1,234218657","-0,522448853",5
13,0,0,748676,51700,493488,0,0,0,0,8658,30143,42,50,3,5,0,0 2025-10-22,"2,4473300998","-0,912433044","-0,403589699",5
7,0,0,748928,51700,493516,0,0,0,0,8792,29734,44,48,3,5,0,0 2025-10-22,"1,8336736648","-0,825066074","-0,465448102",5
5,0,0,748684,51700,493488,0,0,0,0,8577,29261,48,43,3,5,0,0 2025-10-22,"1,6096749164","-1,035690327","-0,55013638",5
6,1,0,750296,51700,493540,0,0,0,0,8620,29485,41,51,3,5,0,0 2025-10-22,"1,8415930227","-0,686498955","-0,716636575",5
4,3,0,747908,51700,493468,0,0,0,0,7950,26425,46,46,3,6,0,0 2025-10-22,"2,0739080783","-1,283474857","-1,27204451",6
8,0,0,745388,51700,493488,0,0,0,0,7517,25611,44,47,3,6,0,0 2025-10-22,"1,9330466292","-1,111877793","-0,355791554",5
9,1,0,748932,51700,493488,0,0,0,0,9057,31496,47,44,3,5,0,0 2025-10-22,"2,2546817834","-0,977786756","-0,72477741",5
5,0,0,748948,51700,493472,0,0,0,0,9102,31551,49,42,3,6,0,0 2025-10-22,"1,9021122471","-1,120702045","-0,602693661",5
7,0,0,747328,51700,493504,0,0,0,0,9018,31299,46,46,3,5,0,0 2025-10-22,"1,9134659689","-0,92742712","-0,434033061",5
10,0,0,749092,51700,493460,0,0,0,0,9174,31423,47,45,3,5,0,0 2025-10-22,"2,2434300062","-1,103024933","-0,540415604",5
8,1,0,745640,51716,493496,0,0,0,40,9243,31042,44,47,4,6,0,0 2025-10-22,"2,3888027019","-1,210486093","1,2250866112",5
7,0,0,744404,51716,493512,0,0,0,0,9210,31714,44,48,3,6,0,0 2025-10-22,"2,1396164372","-0,919067288","-0,304889461",5
10,0,0,747448,51724,493484,0,0,0,98,9136,32017,43,48,3,6,0,0 2025-10-22,"2,4947817463","-1,473542692","4,0438377441",2
13,0,0,746524,51724,493480,0,0,0,0,9183,31580,46,46,3,6,0,0 2025-10-22,"2,7292072075","-0,953775381","-0,340310122",5
5,2,0,746012,51724,493496,0,0,0,0,9133,31760,47,44,3,5,0,0 2025-10-22,"2,0460563331","-1,021323599","-0,899609045",6
7,0,0,742680,51732,493492,0,0,0,12,9035,31263,47,44,3,5,0,0 2025-10-22,"1,9514636656","-1,102169614","0,2720656469",5
4,0,0,741216,51732,493484,0,0,0,0,9166,31682,48,43,3,6,0,0 2025-10-22,"1,8664813334","-1,173837503","-0,29431584",5
7,0,0,740460,51732,493500,0,0,0,86,9195,31848,45,48,3,5,0,0 2025-10-22,"2,0897190738","-1,493871803","3,7437611826",2
10,0,0,737288,51740,493500,0,0,0,28,9038,31544,46,45,3,6,0,0 2025-10-22,"2,4872094422","-1,217907994","1,2808633774",5
10,0,0,741584,51740,493500,0,0,0,0,9178,31773,47,44,3,5,0,0 2025-10-22,"2,2645489693","-0,949850828","-0,160244816",5
5,0,0,744952,51740,493500,0,0,0,0,9129,31854,44,48,3,5,0,0 2025-10-22,"1,7608596957","-0,938731378","-0,383135232",5
7,0,0,744204,51740,493524,0,0,0,0,9070,31473,48,44,3,6,0,0 2025-10-22,"2,1096039116","-0,796317176","-0,265793319",5
8,1,0,740044,51740,493500,0,0,0,0,9088,31740,45,46,3,5,0,0 2025-10-22,"2,2286230119","-1,039915529","-0,370689883",5
6,0,0,740864,51740,493532,0,0,0,0,9068,31607,45,46,3,6,0,0 2025-10-22,"2,0206782419","-0,846169334","-0,139183847",5
8,1,0,743548,51740,493500,0,0,0,0,8780,29720,43,48,3,5,0,0 2025-10-22,"2,1234697264","-0,966090477","-0,499218277",5
6,0,0,745276,51740,493468,0,0,0,40,8882,30692,44,47,3,6,0,0 2025-10-22,"2,0267039732","-1,342814948","1,3816542697",5
9,0,0,740060,51740,493508,0,0,0,0,8742,30004,46,46,3,5,0,0 2025-10-22,"2,1091415525","-0,964264349","-0,098230263",5
8,0,0,738496,51740,493440,0,0,0,0,9094,31576,45,46,3,6,0,0 2025-10-22,"2,3087920253","-1,429322414","-0,20718366",5
5,0,0,741276,51740,493500,0,0,0,0,9048,31611,45,47,3,5,0,0 2025-10-22,"1,7781636593","-1,030830995","-0,241388566",5
6,0,0,738748,51740,493480,0,0,0,0,9173,31899,46,45,3,6,0,0 2025-10-22,"2,0937241894","-1,20894735","-0,170022086",5
5,0,0,738244,51740,493508,0,0,0,0,9302,31587,49,43,3,5,0,0 2025-10-22,"1,8169012562","-1,053669417","-0,109506743",5
5,0,0,741424,51748,493468,0,0,0,12,9140,31561,46,45,3,6,0,0 2025-10-22,"1,9797939823","-1,276628735","0,2326183593",5
5,2,0,742172,51748,493508,0,0,0,0,9331,32088,47,44,3,6,0,0 2025-10-22,"2,2734075369","-0,992199902","-0,725171013",5
4,2,0,741764,51748,493448,0,0,0,0,9251,31875,46,45,3,6,0,0 2025-10-22,"2,2122038812","-1,380394247","-0,855131217",6
10,0,0,742600,51748,493452,0,0,0,0,9342,31851,45,46,4,6,0,0 2025-10-22,"2,4815633903","-1,204433521","-0,30163746",5
4,2,0,741812,51748,493500,0,0,0,0,9066,31592,46,45,3,6,0,0 2025-10-22,"2,1492150196","-1,069283856","-0,744632169",5
4,2,0,742096,51748,493500,0,0,0,0,8932,31944,48,44,3,6,0,0 2025-10-22,"2,160074549","-1,060574391","-0,756044382",5
6,0,0,742112,51748,493516,0,0,0,0,9222,31924,45,46,3,6,0,0 2025-10-22,"2,0429127017","-0,889437403","-0,221043684",5
7,0,0,740560,51748,493416,0,0,0,0,9126,31730,48,44,3,6,0,0 2025-10-22,"2,2327476526","-1,51556385","-0,355546976",5
7,0,0,743268,51748,493480,0,0,0,0,9277,31858,47,45,3,5,0,0 2025-10-22,"1,9977128038","-1,050004774","-0,323175392",5
5,0,0,741504,51748,493516,0,0,0,0,9246,31696,44,47,4,5,0,0 2025-10-22,"1,7577093276","-0,909538124","-0,214914932",5
5,0,0,741612,51748,493476,0,0,0,0,9280,31668,47,45,3,5,0,0 2025-10-22,"1,813361368","-1,144668474","-0,305228209",5
9,1,0,741864,51756,493500,0,0,0,6,9253,31945,45,45,4,6,0,0 2025-10-22,"2,4897550508","-0,984916279","-0,146555257",5
5,0,0,741820,51756,493472,0,0,0,0,9145,31561,50,42,3,6,0,0 2025-10-22,"1,9783927277","-1,157414989","-0,320077938",5
7,1,0,741668,51756,493500,0,0,0,0,9218,31684,45,47,3,6,0,0 2025-10-22,"2,3232803469","-0,983523925","-0,45073533",5
5,1,0,742320,51756,493500,0,0,0,0,9051,31589,48,44,3,6,0,0 2025-10-22,"2,1021196639","-0,999261735","-0,511807398",5
7,0,0,738200,51756,493500,0,0,0,6,9188,31968,47,44,3,6,0,0 2025-10-22,"2,187663744","-1,079981764","0,1885149578",5
6,1,0,742048,51756,493484,0,0,0,0,9128,31641,46,45,3,6,0,0 2025-10-22,"2,2067278917","-1,088627107","-0,516746424",5
8,1,0,741296,51756,493500,0,0,0,0,9116,31467,47,45,3,6,0,0 2025-10-22,"2,4093974306","-0,980164389","-0,416772922",5
8,0,0,741800,51756,493484,0,0,0,0,9400,31866,44,47,3,6,0,0 2025-10-22,"2,2807797925","-1,039350944","-0,239340583",5
7,0,0,741520,51756,493500,0,0,0,0,9287,31854,45,46,3,5,0,0 2025-10-22,"1,981104333","-0,954918531","-0,211590059",5
7,0,0,742068,51756,493524,0,0,0,0,9270,31492,46,46,3,6,0,0 2025-10-22,"2,1454297568","-0,80738212","-0,182205209",5
5,1,0,738324,51756,493500,0,0,0,0,9235,31816,46,47,3,5,0,0 2025-10-22,"1,9955160171","-1,080974063","-0,360038584",5
5,0,0,742100,51756,493512,0,0,0,0,9249,31688,45,46,3,6,0,0 2025-10-22,"1,9434534232","-0,909719904","-0,245943526",5
4,3,0,741848,51756,493500,0,0,0,0,9422,31611,46,46,3,6,0,0 2025-10-22,"2,352845148","-1,064102065","-0,979831502",6
11,0,0,742360,51756,493532,0,0,0,0,9273,31465,47,44,3,6,0,0 2025-10-22,"2,5122489971","-0,695603529","-0,101008192",5
6,0,0,741576,51756,493500,0,0,0,0,9175,31752,46,47,3,5,0,0 2025-10-22,"1,9042288359","-0,965926855","-0,232834841",5
6,0,0,742072,51756,493536,0,0,0,0,9151,31629,47,44,3,6,0,0 2025-10-22,"2,0127309081","-0,752578155","-0,174380994",5
4,3,0,739524,51756,493500,0,0,0,0,9051,31680,47,45,3,5,0,0 2025-10-22,"2,1604084169","-1,114602708","-0,887921449",6
5,0,0,742400,51756,493456,0,0,0,0,9080,31646,48,44,3,5,0,0 2025-10-22,"1,8025651599","-1,229223906","-0,375297015",5
9,1,0,742928,51756,493488,0,0,0,0,9062,31361,46,45,3,6,0,0 2025-10-22,"2,4789642949","-1,001049509","-0,485034876",5
5,0,0,740528,51756,493420,0,0,0,0,9277,31799,47,44,3,5,0,0 2025-10-22,"1,8497568972","-1,491016395","-0,381055277",5
7,1,0,742184,51756,493504,0,0,0,0,9200,31445,47,45,3,5,0,0 2025-10-22,"2,1265591082","-0,936953358","-0,460427172",5
5,0,0,742780,51756,493456,0,0,0,0,9229,31363,46,46,3,5,0,0 2025-10-22,"1,8066086485","-1,219152473","-0,390187031",5
6,2,0,741832,51756,493504,0,0,0,0,9035,31375,52,40,3,6,0,0 2025-10-22,"2,3480890684","-0,995218037","-0,69794631",5
8,2,0,742376,51756,493484,0,0,0,0,9070,31318,46,46,2,6,0,0 2025-10-22,"2,5690867383","-1,072171121","-0,724598956",5
5,0,0,742264,51756,493504,0,0,0,0,9107,31903,47,45,3,5,0,0 2025-10-22,"1,776635492","-0,941865946","-0,268557755",5
8,1,0,742184,51756,493572,0,0,0,0,9065,31346,45,47,2,5,0,0 2025-10-22,"2,1686873846","-0,513695033","-0,296351268",5
4,3,0,742184,51756,493504,0,0,0,0,9045,31079,48,44,3,6,0,0 2025-10-22,"2,2996673565","-1,038702356","-0,980950964",6
6,0,0,742216,51756,493452,0,0,0,0,9048,31207,47,45,3,5,0,0 2025-10-22,"1,8925666026","-1,24540592","-0,357092398",5
8,0,0,741376,51756,493420,0,0,0,0,9178,31368,49,43,3,5,0,0 2025-10-22,"2,1349696263","-1,427287904","-0,356748634",5
10,0,0,747288,51756,493480,0,0,0,0,9015,31216,47,45,3,5,0,0 2025-10-22,"2,219755059","-0,894207818","-0,416915786",5
7,0,0,740076,51756,493504,0,0,0,0,9156,31287,48,44,3,6,0,0 2025-10-22,"2,1611496695","-0,979017022","-0,147404104",5
5,1,0,741128,51764,493464,0,0,0,6,9177,31617,45,47,3,5,0,0 2025-10-22,"1,9765646219","-1,245448564","-0,267752431",5
5,0,0,741276,51764,493504,0,0,0,0,9126,31077,44,48,3,5,0,0 2025-10-22,"1,7673581791","-0,949850687","-0,227777535",5
8,0,0,742292,51764,493480,0,0,0,0,9217,31433,46,46,3,5,0,0 2025-10-22,"2,0879110536","-1,023121021","-0,262986258",5
5,2,0,742680,51764,493504,0,0,0,0,9183,31659,47,46,3,5,0,0 2025-10-22,"2,1015729191","-0,953774917","-0,748839702",5
6,0,0,742020,51764,493492,0,0,0,0,8963,30987,47,46,2,6,0,0 2025-10-22,"2,056787917","-0,999737598","-0,263854457",5
8,0,0,741828,51764,493504,0,0,0,0,9198,31458,49,43,3,5,0,0 2025-10-22,"2,0707947418","-0,889914339","-0,193966188",5
8,0,0,741948,51764,493508,0,0,0,0,9241,31451,48,44,3,5,0,0 2025-10-22,"2,0709386694","-0,862353384","-0,190300068",5
2,0,0,741660,51764,493504,0,0,0,0,9263,31925,44,48,3,5,0,0 2025-10-22,"1,5016680397","-0,979153993","-0,30090054",5
10,0,0,741156,51764,493440,0,0,0,0,9379,31884,49,43,3,5,0,0 2025-10-22,"2,3482333483","-1,258893662","-0,269067618",5
4,2,0,740268,51764,493504,0,0,0,0,9137,31758,44,49,3,5,0,0 2025-10-22,"2,0236586023","-1,02777396","-0,675141577",5
5,1,0,742152,51764,493524,0,0,0,0,9098,31918,45,48,2,5,0,0 2025-10-22,"1,9437839532","-0,823601928","-0,453778939",5
6,1,0,740900,51764,493504,0,0,0,0,9091,31725,43,49,3,5,0,0 2025-10-22,"2,0380173868","-0,96407729","-0,428456659",5
10,0,0,741904,51764,493512,0,0,0,0,9457,32018,45,48,3,5,0,0 2025-10-22,"2,3173653364","-0,803050847","-0,14585437",5
5,0,0,742192,51764,493504,0,0,0,0,9305,31914,47,45,3,5,0,0 2025-10-22,"1,7941670578","-0,921695268","-0,265435974",5
3,3,0,742536,51764,493468,0,0,0,0,9240,31908,47,46,2,5,0,0 2025-10-22,"2,1080623642","-1,222649227","-1,091032212",6
7,0,0,740736,51764,493428,0,0,0,2,9323,32325,45,47,2,5,0,0 2025-10-22,"2,0837903065","-1,394157684","-0,244300415",5
8,0,0,741820,51764,493472,0,0,0,0,9250,31997,48,45,2,5,0,0 2025-10-22,"2,1393218525","-1,077248595","-0,264131959",5
8,1,0,740796,51764,493420,0,0,0,0,9139,31989,44,49,2,5,0,0 2025-10-22,"2,3353471537","-1,439081278","-0,567747239",5
10,2,0,742100,51764,493488,0,0,0,0,9178,31969,46,47,2,5,0,0 2025-10-22,"2,6269579668","-0,989262795","-0,668316741",5
6,1,0,740956,51764,493504,0,0,0,0,9281,32163,48,45,2,5,0,0 2025-10-22,"2,0877489039","-0,955459148","-0,433340436",5
7,1,0,742068,51764,493456,0,0,0,0,9416,32139,46,48,2,5,0,0 2025-10-22,"2,2431119121","-1,199273485","-0,560909346",5
4,0,0,741388,51764,493504,0,0,0,0,9384,32432,45,49,2,5,0,0 2025-10-22,"1,7666195542","-0,947987773","-0,256418616",5
6,0,0,739928,51764,493468,0,0,0,0,9162,32461,48,45,2,5,0,0 2025-10-22,"1,9651406277","-1,176264722","-0,237924208",5
8,3,0,741628,51764,493420,0,0,0,0,9196,32735,47,46,2,5,0,0 2025-10-22,"2,6609471803","-1,458409094","-1,066574956",6
7,0,0,744668,51764,493472,0,0,0,0,9422,32697,49,45,2,4,0,0 2025-10-22,"1,8854020333","-1,004037436","-0,39391303",5
5,0,0,741504,51764,493512,0,0,0,0,9185,32512,44,50,2,4,0,0 2025-10-22,"1,6625251716","-0,873610277","-0,223308683",5
5,0,0,741924,51764,493468,0,0,0,0,9196,32591,48,46,2,4,0,0 2025-10-22,"1,6928555808","-1,128009109","-0,333200482",5
11,2,0,742012,51764,493520,0,0,0,0,9211,32150,45,48,2,5,0,0 2025-10-22,"2,7098567747","-0,782778459","-0,578715281",5
8,0,0,741504,51764,493472,0,0,0,0,9500,32882,45,49,2,4,0,0 2025-10-22,"2,0243118402","-1,065302763","-0,254997453",5
5,0,0,740496,51772,493496,0,0,0,6,9250,32554,48,46,2,4,0,0 2025-10-22,"1,6917574518","-1,00628664","0,0558774872",5
8,0,0,741504,51772,493548,0,0,0,0,9157,32617,48,47,1,4,0,0 2025-10-22,"1,9534476659","-0,590320795","-0,090053094",5
5,1,0,741972,51772,493504,0,0,0,0,9418,32826,50,44,2,4,0,0 2025-10-22,"1,8440271185","-0,90839698","-0,49115972",5
9,0,0,741844,51772,493484,0,0,0,0,9241,32731,48,46,1,4,0,0 2025-10-22,"2,0902247602","-0,953647466","-0,220754616",5
5,2,0,741272,51772,493504,0,0,0,0,9440,33045,46,48,2,4,0,0 2025-10-22,"2,0151504344","-0,946217617","-0,697645154",5
5,0,0,742280,51772,493472,0,0,0,0,9323,32880,48,46,1,4,0,0 2025-10-22,"1,7126672806","-1,072127576","-0,338391024",5
5,0,0,741848,51772,493488,0,0,0,0,9333,32742,46,49,1,4,0,0 2025-10-22,"1,7203303445","-0,984692927","-0,288264973",5
8,0,0,742084,51772,493488,0,0,0,0,9417,32962,49,45,1,4,0,0 2025-10-22,"2,0072168687","-0,935063533","-0,241505128",5
7,0,0,741224,51772,493504,0,0,0,0,9371,33040,48,47,1,4,0,0 2025-10-22,"1,9198646112","-0,872583896","-0,19372745",5
5,0,0,741800,51772,493500,0,0,0,0,9490,32785,50,45,2,4,0,0 2025-10-22,"1,7157790143","-0,912178541","-0,261440551",5
