r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,505296,43976,1055100,0,0,857,311,0,1,99,0,"-0,172985667","-1,88599175","-0,293111352","0,1623752549","-0,099133874","-0,084713648","-0,402767076","-1,151293185",7
0,0,505696,43976,1055104,0,0,1002,326,0,2,98,0,"1,8035479913","-2,020783157","-1,342701555","-0,349039505","-0,652673685","-0,112232015","-0,130970508","0,4358846264",1
0,0,505660,43976,1055108,0,0,991,320,0,2,98,0,"1,7568700947","-2,034899115","-1,347578557","-0,342358697","-0,644775831","-0,115023883","-0,131599869","0,4392355931",1
0,0,505348,43976,1055108,0,0,1035,320,0,2,98,0,"1,8747919478","-2,00385891","-1,418196624","-0,360876286","-0,652504936","-0,117517587","-0,17008781","0,4333242153",1
2,0,505392,43984,1055112,0,36,984,367,0,1,99,0,"0,6712975677","-1,857931319","-0,208149508","-0,510459107","4,0083741278","1,0062262301","0,5277904519","-0,358943802",5
0,0,506244,43984,1055112,0,0,799,256,0,1,99,0,"-0,53594882","-1,966079977","-0,283193448","0,188638678","-0,093632797","-0,088862492","-0,333661969","-1,000216407",7
0,0,505588,43984,1055116,0,0,862,309,0,1,99,0,"-0,178461732","-1,869068709","-0,280760806","0,1567694194","-0,111643685","-0,0802494","-0,384483788","-1,120188794",7
0,0,506496,43984,1055116,0,0,880,268,0,1,99,0,"-0,302783928","-1,89157055","-0,321759535","0,1440452812","-0,142094735","-0,077749297","-0,342056234","-0,968097987",7
0,0,506220,43984,1055120,0,0,916,300,0,1,99,0,"-0,095632542","-1,833662721","-0,308824179","0,1245331157","-0,156551681","-0,070867526","-0,363544147","-1,032008861",7
0,0,506120,43992,1055120,0,16,934,333,0,1,98,0,"0,8758861838","-1,780696432","-0,06900528","0,0756436924","-0,013831272","-0,295203433","-0,439396433","-0,631645579",7
0,0,506576,43992,1055124,0,68,876,313,0,1,99,0,"0,1501114474","-1,852110409","0,8097529986","0,3439555945","0,9655999597","-1,271570862","-1,431644533","-0,135676224",10
0,0,506756,43992,1055124,0,0,872,286,0,1,99,0,"-0,270463934","-1,865128147","-0,25280955","0,1424065805","-0,153312841","-0,068628092","-0,313821234","-0,98086567",7
1,0,504504,43992,1055128,0,0,862,322,0,1,99,0,"-0,013598403","-1,913518377","-0,563722154","-0,188515729","1,7197889093","0,7611237512","0,3144060089","-1,050669131",6
0,0,505780,43992,1055128,0,0,1077,352,0,2,98,0,"2,071240813","-1,911804784","-1,357333852","-0,391441289","-0,696078014","-0,098923682","-0,143086876","0,4324322611",1
1,0,501500,44000,1055136,0,24,931,347,0,1,99,0,"0,4421759073","-1,84750182","-0,454309015","-0,122171901","2,1905712052","0,301194695","-0,306568219","-0,978860842",6
0,0,505208,44000,1055136,0,8,833,258,0,1,99,0,"-0,380982537","-1,920483879","-0,276234263","0,2060726779","0,0615716689","-0,243194561","-0,548896338","-0,958658527",7
1,0,503180,44000,1055140,0,0,912,320,0,1,99,0,"0,1410506913","-1,872906932","-0,724526006","-0,19927063","1,747857363","0,7438232454","0,202050072","-1,126910893",6
0,0,505460,44000,1055144,0,0,973,302,0,1,98,0,"0,809869395","-1,768707819","-0,472291779","0,019039164","-0,26145142","-0,027256202","-0,24951978","-0,821744577",7
0,0,501072,44000,1055144,0,0,868,319,0,1,99,0,"0,0042170265","-1,854697897","-0,617302367","0,1997250976","0,0519243716","-0,143027659","-0,70049398","-1,483142059",7
0,0,504396,44008,1055152,0,24,740,285,0,1,99,0,"-0,421075275","-1,957914444","0,0588426451","0,3050249528","0,3893438273","-0,535757587","-0,823108569","-0,893777621",7
0,0,506128,44008,1055152,0,0,1196,382,0,2,98,0,"2,4530742903","-1,764338727","-1,388672527","-0,459048866","-0,769872869","-0,078423523","-0,151684308","0,4608753609",1
0,0,505824,44008,1055156,0,0,962,339,0,1,98,0,"0,8969530703","-1,724364768","-0,349170222","0,0150578375","-0,280515546","-0,011258433","-0,206053874","-0,861760321",7
0,0,505404,44008,1055156,0,0,1124,346,0,1,99,0,"0,5939924527","-1,59733569","-0,488832397","0,0225525444","-0,230483106","-0,058222095","-0,481384736","-1,083270915",7
